area,leave,remain
angus,26511,32747
basildon,67251,30748
belfast west,8092,23099
blaenau gwent,21587,13215
brentwood,27627,19077
broxbourne,33706,17166
bury,54674,46354
caerphilly,53295,39178
city of london,1087,3312
clackmannanshire,10736,14691
conwy,35357,30147
corby,20611,11470
craven,18961,16930
denbighshire,28117,23955
dundee city,26697,39688
east ayrshire,23942,33891
east renfrewshire,13596,39345
eden,16911,14807
eilean siar,6671,8232
exeter,28533,35270
foyle,8905,32064
gibraltar,823,19322
hammersmith & fulham,24054,56188
harlow,29602,13867
hartlepool,32071,14029
hyndburn,26568,13569
inverclyde,14010,24688
isle of anglesey,19333,18618
isles of scilly,621,803
kettering,32877,21030
lagan valley,25704,22710
lambath,30340,111584
merthyr tydfil,16291,12574
middlesbrough,40177,21181
midlothian,17251,28217
moray,23992,24114
newcastle upon tyne,63598,65405
newport,41236,32413
north antrim,30938,18782
north down,21046,23131
north lanarkshire,59400,95549
north tyneside,60589,52873
north warwickshire,25385,12569
nuneaton and bedworth,46095,23736
orkney islands,4193,7189
oxford,20913,49424
pendle,28631,16704
perth and kinross,31614,49641
peterborough,53216,34176
redcar & cleveland,48128,24586
renfrewshire,31010,57119
rochford,34937,17510
shetland islands,5315,6907
south ayrshire,25241,36265
south bucks,20647,20077
south lanarkshire,60024,102568
south tyneside,49065,30014
southend-on-sea,54522,39348
st helens,54357,39322
stevenage,27126,18659
stirling,15787,33112
stockton-on-tees,61982,38433
strangford,23383,18727
stroud,33618,40446
sunderland,82394,51930
swansea,61936,58307
swindon,61745,51220
tamworth,28424,13705
torbay,47889,27935
uttlesford,26324,25619
wellingborough,25679,15462
west dunbartonshire,16426,26794
west lothian,36948,51560
west tyrone,13274,26765
weymouth and portland,23352,14903
